,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
s1-0,0.041370198,-0.017121628,-0.13912562,0.046684027,0.07306962,-0.057510693,0.008730123,-0.041500214,-0.0102017075,-0.017590152,-0.111821465,0.027898375,0.0041848924,-0.03376264,0.030808352,0.0072260574,-0.00030769594,0.06199117,-0.07480519,-0.16780987,-0.005994724,-0.10487704,-0.0958865,0.071607806,0.0186551,0.10650074,-0.011484198,-0.115131184,-0.040416405,0.0007173866,0.058742445,0.32068875,0.050893813,0.106738396,-0.05327923,-0.007747147,-0.010431932,0.1000184,-0.07839357,0.0307912,0.013358325,-0.031594615,-0.14213502,-0.03959806,-0.018442746,-0.03458315,0.11469555,0.034520894,-0.011625654,0.09410404,-0.10686134,-0.25351244,-0.102118574,-0.29713356,0.53266543,-0.043487605,0.40880215,0.4370807,0.22001408,-0.039620105,0.65801734,0.13765839,0.04388624,-0.33243603,0.0842395,0.37338656,-0.0735268,-0.0634446,-0.1678765,-0.00010281056,0.3792782,0.39343518,-0.2075615,0.0991119,0.09411998,-0.45486483,0.029468682,0.584491,-0.17161602,-0.2541314,-0.69151616,-0.16768873,0.273656,-0.5564945,0.38271064,0.14150731,-0.024415206,0.028215824,0.041320805,0.5349722,-0.35873693,0.07533984,0.22324677,-0.12673284,0.11120169,-0.07848308,0.14865117,-0.078130215,0.7106972,-0.110925764
s1-1,0.030700743,0.073508956,-0.07849026,0.08258355,0.04954163,-0.02361795,-0.043606557,0.020953555,-0.06224372,0.04547641,-0.041242797,-0.061305534,0.002752094,0.038250312,0.014425982,-0.06734481,0.07081865,-0.024954736,-0.05056274,-0.10755506,-0.05894255,0.05732105,0.17689031,0.018270437,0.11363503,0.114428446,-0.06697152,-0.41465545,-0.038419165,-0.14768322,-0.008529652,-0.15252861,-0.07906047,0.19787234,0.07335853,0.096507594,-0.061132953,-0.020697061,0.013004798,-0.12582144,-0.009346364,0.056516573,-0.0044424813,-0.089938745,0.035816714,-0.08994184,0.040585928,-0.12402941,-0.031727612,0.048114084,0.13846138,0.6427252,0.673937,-1.4029412,-0.63463247,-0.22901694,-0.49119473,-0.21443337,-0.40726674,0.0028176755,0.48650733,0.080266796,-0.047880977,-0.06395517,-0.06594201,-0.22825739,-0.16666248,-0.16447377,0.095027804,0.09643805,-0.022237,-0.4900639,0.84881306,-0.39263833,0.20287827,0.49082956,-0.22433552,-0.61418086,-0.10709126,0.08296609,0.1461636,0.08889393,0.48166728,0.03547307,-0.20356473,-0.14148156,-0.25360394,-0.10764484,-0.07970601,0.026784211,-0.09508559,0.09529513,0.38967884,-0.28164494,0.06382556,0.2797646,0.85595506,0.18513432,0.6726649,0.018485762
s1-2,0.07966903,-0.13411844,-0.19008473,0.06370836,0.0066397088,0.086994395,0.0630846,-0.053558342,-0.06574638,-0.025570804,0.0013714023,0.009802282,-0.097712435,0.0031208657,-0.025472514,-0.030222028,-0.095096394,-0.09303862,0.030802816,-0.09763447,-0.10785881,0.061761767,-0.005757017,0.048302777,0.04725468,-0.11188485,0.10365127,-0.6073766,0.03876286,-0.4151209,0.09640257,0.26351613,0.024840998,-0.063275665,-0.079849966,-0.09069861,-0.028256943,0.047003195,-0.0045677293,-0.01210352,-0.03134273,-0.042361464,-0.037266143,-0.062030196,-0.06018608,0.023414368,0.049546648,0.019451952,0.0977312,-0.091012016,0.0090558175,-0.29993975,-0.03260362,-0.56098604,-0.28623536,-0.071551144,0.82131517,0.3311754,0.0035653487,0.038853902,0.37729305,0.15492685,0.107128374,-0.30144954,-0.15899633,0.15679914,-0.22814567,0.084300146,-0.27337602,-0.07139953,0.21832386,0.13762961,-0.043657795,-0.063148074,0.329028,-0.4492395,-0.018772833,0.19805704,0.19701228,-0.50610036,0.6698778,-0.37924522,0.37220648,-0.73904496,0.56621194,0.08688457,-0.20712821,0.5024963,0.6491784,0.33697084,-0.45603412,0.24334142,0.41682395,-0.17137668,-0.25078112,0.30448824,0.6675118,-0.08269706,-0.101351395,-0.022970602
s1-3,0.074691355,0.016992634,-0.075541794,0.10810423,-0.009274706,0.037253004,0.08115853,-0.0587628,-0.008562496,0.14857453,0.023053326,-0.008262906,-0.05480037,-0.062111318,-0.0009424044,0.030329127,-0.07318175,0.015902579,-0.0424084,-0.031987395,-0.12157879,-0.06489682,-0.013710842,0.0665327,0.1096939,-0.02979978,0.06900263,-0.5118964,-0.029697584,0.499811,0.039004482,-0.36805025,0.0017345846,-0.060101297,-0.07917213,0.00041669514,-0.0129283145,-0.054562114,0.068679914,0.05873736,-0.026275199,0.0019250885,-0.08742245,0.09084623,0.029776076,0.04820271,0.010341981,0.06011209,-0.014044292,-0.079992615,0.49954146,-0.37378433,0.3521664,-0.641218,0.2675597,0.13499075,0.5323695,-0.038888235,0.035517965,-0.024938488,0.33026212,-0.16597393,-0.4528581,-0.120604105,-0.4351821,-0.25709897,-0.075968996,-0.060355432,0.010999193,-0.43336546,0.22563693,0.4185264,0.69943863,0.26184478,0.2448318,-0.7423448,-0.004496865,0.17910364,-0.192314,0.088868886,0.6404038,-0.18812266,0.16240871,-0.66870135,-0.11213421,0.0983614,-0.26787582,-0.24519815,0.5669457,1.8541758,-0.17934343,-0.38733187,-0.040010106,-0.1618265,0.00036961585,0.59050053,0.39570934,-0.2337172,0.7521546,-0.01663164
s1-4,0.068896554,-0.017042818,-0.11856896,-0.031367112,-0.0699589,0.15630487,0.023037437,0.075153,0.05030221,0.07280017,-0.16050656,-0.025877068,-0.013581727,-0.028944427,0.08296669,-0.12964338,0.014766902,-0.016074423,-0.022294391,-0.037760552,-0.046564855,0.032913595,0.029086154,0.018398441,-0.05410529,-0.14259636,0.16688165,-0.67846596,0.00073231943,-0.06846248,-0.04443591,0.3334603,-0.07330935,-0.06253259,0.026362348,-0.07993799,0.04654448,-0.024367023,-0.010216657,-0.0890027,-0.03321361,-0.05582808,-0.07708234,0.084444575,0.013356652,0.06379645,-0.043652073,0.15377137,0.011265736,0.054841835,-0.38782245,0.40577212,-0.022975467,-0.13896191,-0.015477549,-0.2969464,-0.24098553,-0.092627645,-0.25958216,0.41001618,0.21394944,0.14396465,0.06471286,-0.047819592,0.26754457,-0.14968659,-0.09057847,0.31614628,-0.0136154955,0.0958151,0.30512273,-0.54258645,-0.5899199,-0.4255637,-0.1154193,-0.14407037,-0.025317533,-0.17264356,0.12353974,-0.42430896,1.009715,-0.023302522,0.3090956,-1.1123135,-0.10795385,-0.03798242,0.05656369,0.2522679,-0.09430269,-0.6842183,-0.30097473,0.6215733,0.32153678,-0.21638486,-0.31056663,-0.25411117,0.45657662,0.22774681,-0.49310654,-0.24041653
s1-5,0.0968319,-0.035434857,-0.15100412,0.09293564,0.064603776,0.04339879,0.035780966,-0.06921935,0.010016739,0.09900594,-0.045126215,0.058956392,-0.083101146,-0.10263309,-0.03654674,-0.068422355,0.010113804,-0.074699394,-0.055399384,-0.06318246,-0.04359933,-0.08140801,-0.02964155,0.08938133,-0.0035658036,0.0042710043,-0.009007381,-0.53443456,-0.041671693,-0.19045466,0.14076218,-0.06817848,-0.017752415,0.010574028,-0.00061914604,0.076077595,-0.049550667,0.043693557,-0.0011782721,0.019012846,-0.094356954,0.0591706,-0.13234416,0.022744786,-0.012910942,0.04670409,0.105112255,-0.0082689375,-0.06321104,0.10193678,-0.015323505,0.27333373,-0.2904794,-0.15018335,-0.27934206,-0.08086988,-0.16910896,0.44533038,0.007230982,-0.1511096,0.11756864,0.17747378,-0.012563901,-0.12932748,0.2109058,0.2046466,-0.18246156,0.008136429,0.019840626,0.20500892,0.23471716,0.08303791,0.04598538,0.12268892,0.041964397,0.056624524,-0.32574666,0.15235528,0.17371088,-0.09219891,-0.5010365,0.045043495,0.19800654,-0.7347454,0.4489317,0.073729575,-0.19360788,0.15123367,-0.17026958,-0.1515157,-0.03560239,0.27031294,0.3212351,-0.08143322,-0.264076,0.27635533,0.4509089,0.3026731,0.1317564,0.21702772
s1-6,0.10802648,0.03213961,-0.06360941,0.014306862,-0.051531218,-0.055029087,0.072913654,0.12108295,0.011160336,0.08965651,0.16122106,-0.02776694,-0.0823875,-0.058336996,-0.08388291,0.0025145784,0.021907631,0.02847628,-0.085127175,-0.018441819,0.04117073,0.035758726,0.15035728,0.0018417775,-0.04300839,0.013589847,0.07317938,-0.70345277,-0.23921543,-0.01045068,0.030208074,0.54377836,0.16675162,0.01685309,0.04211134,0.12635192,0.014794942,-0.020221708,-0.07964375,-0.0050776005,0.10914163,0.04226093,-0.087901205,0.050790668,0.020055272,-0.06828821,0.050483488,0.09536118,-0.058819443,0.07655439,-0.004930878,-0.26367605,-0.32929894,0.12529734,-0.017810721,0.14006606,-0.08502837,0.12563059,0.36553383,-0.043812916,-1.238168,-0.18380198,0.013454167,-0.029109493,0.042076685,0.16073367,0.06781386,-0.24893877,0.26903126,0.3005527,-0.10980737,0.07647134,0.6638589,-0.0024358183,-0.12297571,0.80756116,0.3976348,0.057520572,-0.086521715,-0.08236313,0.053061094,0.10647852,-0.1234698,-0.5423062,-0.04784283,0.04661818,0.12712705,-0.34191698,0.06368797,-0.8019651,0.4678157,-0.31974667,-0.060687117,0.21764815,0.100352556,-0.031725317,-2.1799238,-0.05026111,0.26576376,-0.06354551
s1-7,-0.0020726584,0.058425445,0.07956508,-0.01445752,-0.001885415,-0.014254849,0.017254096,0.015532234,0.027905935,0.055127386,-0.075926356,0.017166283,0.04717677,0.040116876,-0.05189733,-0.031880207,0.030098805,-0.026278976,-0.040332343,0.05901802,-0.04540821,-0.07442281,0.038800806,-0.13348417,0.019572094,-0.0074039027,0.11665811,-0.5856028,-0.10111358,-0.33662415,-0.050054938,0.6164741,0.019028341,-0.055644095,-0.0007071607,-0.01564654,-0.034298327,-0.030932756,0.0758283,-0.013689019,-0.035954926,0.024570534,-0.056446828,0.098937176,-0.008245665,-0.009255625,-0.057261206,0.044349574,-0.029773347,0.13286486,0.16485098,-0.41005075,-0.012528421,0.1500602,0.1268214,-0.1394484,0.028138908,0.17166477,0.004527392,-0.012186859,-0.4271422,-0.30491638,-0.3370003,-0.11966486,0.18358037,-0.35085237,-0.13657989,0.14345221,-0.032122426,-0.22962725,0.39226878,0.1476508,-0.06431692,0.12041946,-0.2178674,-0.5110932,-0.33980545,0.3511191,-0.23776048,0.22646113,-0.5928916,-0.09336813,-0.3881555,-0.9490247,-0.19147182,-0.12432216,0.071013585,-0.26551,-0.069101095,0.6373868,-0.104872435,0.13153604,-0.07346001,-0.18799795,-0.035887606,0.07273451,-2.7308133,-0.016716175,-0.15196458,0.1169273
s1-8,0.06572712,0.012925179,-0.007499029,0.04725094,0.030572537,0.020221803,0.051435474,0.04911618,-0.060470197,0.044224948,0.019988531,0.07418555,-0.0049033565,0.03904561,0.009781919,-0.19406284,-0.058604993,-0.08257438,-0.15769245,-0.057667986,0.051703233,-0.0150286425,0.11217776,0.050319165,0.14490329,-0.07305591,0.08559247,-1.156084,-0.04649101,-0.41126394,-0.16143698,0.59414244,-0.0053806007,0.011377223,0.06921658,0.057446014,0.022355294,0.037201937,-0.07835777,-0.0541813,-0.062194638,0.108953714,-0.12368789,0.13056715,-0.05910967,-0.0074597145,0.057612352,-0.03607579,0.041917726,0.13099155,0.11631177,0.24188387,0.6176697,-0.3190883,0.123809606,0.29000592,1.6134862,-0.37111515,-0.08820927,-0.13334274,-0.49789965,0.07863086,-0.15510549,0.049796924,-0.23978728,-0.5341532,0.04411328,0.27217564,-0.1508858,-0.4445259,-0.4494947,-0.41084403,-0.20662665,-0.01787309,0.30019855,0.15738109,-0.057918504,-0.15503249,0.07196345,0.21145183,0.16330656,-0.20168953,-0.047680967,-0.905845,-0.44748485,-0.014850147,0.028790109,0.0062849186,0.22444612,0.17135379,0.26707968,-0.18669675,-0.13053115,0.0030368953,-0.07378186,-0.2542426,-2.2563484,0.091608174,-0.26352754,-0.08634713
s1-9,0.06804016,0.007148859,0.18483728,-0.03550208,0.12550655,-0.13627034,0.100977495,0.11671954,-0.027788123,0.05313558,-0.103193074,0.0066399835,0.08107796,0.058985967,0.033618767,-0.06462288,-0.04931693,0.0006522732,-0.17806605,-0.0017131865,0.03402479,-0.08440024,-0.067411736,0.044753056,0.04810344,0.009191548,0.045108926,-1.2311707,-0.090662464,-0.14646128,-0.0917606,1.4050355,-0.059453364,0.015169259,0.08919226,0.10714191,0.044811506,-0.047896013,-0.033618834,-0.008750023,-0.02564629,0.07176319,-0.0621644,0.066898875,-0.07176402,-0.0038474426,0.042275093,0.0068898723,0.025305538,0.1826754,-0.074836865,0.5096395,0.58366144,0.3549765,-0.007253032,-0.2240102,-0.06025939,-0.15425208,0.112681456,0.0713882,-0.20374043,0.050330568,-0.23083901,0.15504494,0.17771837,-0.093929425,-0.012360656,0.22388938,-0.0007538297,-0.24792361,0.0074379295,-0.06646557,0.19351855,-0.03395187,0.14622891,-0.15062362,-0.13523051,-0.45257547,-0.24981937,0.14250052,-0.029791608,0.08869795,-0.47536606,-0.8681901,-0.25238392,-0.038060285,-0.09271753,-0.25931537,-0.1363856,-0.07431117,-0.09429304,-0.046930328,-0.07154894,-0.31493193,0.047298536,0.07747119,-2.1758943,-0.14398366,-0.046445806,-0.0016965899
