,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
s1-0,-1.2914958,1.581531,-1.7955146,1.1775726,-0.20203371,-0.8179154,0.05944833,0.5754792,0.25101537,-1.9742315,0.095858745,1.5576748,-2.3239794,0.37807387,-0.41812325,-1.4870158,-0.24779299,0.47792816,0.6486765,-0.36908782,0.11439475,-1.2971929,-0.7053622,0.14569893,-0.5325749,0.7977499,-0.3396276,0.4394898,-0.67550075,0.79653865,1.1147654,-0.20150037,-0.061024908,1.2258096,0.046255045,-1.2700853,-1.1671828,0.21212602,-0.9618067,1.0291173,0.76424176,-0.23989896,-1.0017852,-0.95819104,1.5774292,1.428372,-0.22708371,-0.22130483,0.57309157,-1.6251842
s1-1,0.8669767,-0.2735766,0.089673355,0.20973115,0.84312636,-0.2845048,0.895028,-0.8704931,0.0044445307,1.8250579,-3.4671447,-1.4764087,-1.2753717,1.2874265,0.59996414,-0.14303102,-0.2526206,-0.77456427,0.35766917,-0.21028435,-1.1796333,-0.75516915,-0.29407433,0.6359576,-0.8677967,-2.1352468,1.2424712,-0.17307857,1.6843203,-0.35727248,1.0192757,-0.5862299,2.5649607,0.48400673,1.3706489,-0.34898207,-1.0743183,0.8663523,-1.8940539,0.15612914,0.21323676,0.5840562,1.0873612,-0.46711656,2.2061813,-0.6329313,-0.8747858,0.7771162,2.395766,-0.5952895
s1-2,-1.0218233,0.7736578,-0.5085708,-0.33157086,2.5222118,0.70237786,0.21309772,-1.0725621,0.8079071,-1.2589865,0.87789327,-0.52208453,-1.1976943,-0.4282679,-0.7607649,0.55668795,-0.72377425,0.5898305,1.4068038,-0.14717905,0.7099691,0.095146134,0.190435,2.0427294,-1.1905265,0.19847666,0.3865691,-0.8139223,0.15392035,0.6262836,1.0732217,0.6056132,-1.1503251,0.4746697,-0.24652775,2.2533224,1.4032182,0.40282705,0.01880272,0.2149832,-1.237053,-0.9383621,-0.070909336,0.9434789,0.44868258,0.29438603,-0.42010084,0.2580051,-1.2735274,-0.5496477
s1-3,-0.51287234,0.8763033,-1.8309066,-0.3944645,-0.56926847,-0.78936154,-2.8688438,0.025446523,-0.62463665,-0.14967616,-2.2479825,0.9678804,-0.4514832,0.2855218,3.1208367,-0.07054253,1.4731269,-2.1254592,-0.91404647,1.4871196,0.7079258,-1.5416311,0.31081378,-0.9931472,0.35314634,1.5698382,0.77874714,1.5369983,0.17742117,-0.32991615,-0.109062806,0.45849067,-0.30496648,-1.3598983,-0.23142026,0.83067197,0.7736133,0.103923246,-0.8636358,-1.6778785,-0.85699844,-0.27560455,0.019989047,-1.9792691,-0.42885655,2.1035552,0.13591187,1.5264889,-0.6065866,-1.2455773
s1-4,-0.7034634,0.5332192,-0.6468784,0.7639311,1.5827456,1.3940744,0.64933467,1.0181932,-0.036201984,-0.895508,-0.35691893,-1.1525689,-0.3847605,-0.5040824,0.32222706,1.7910911,-0.49473628,1.1031353,-1.778158,-0.75054365,0.73123306,-0.78050953,1.0342436,-0.6985979,-1.060767,0.18066216,-1.5766671,0.27921134,-1.4264803,1.110778,-0.6331763,-0.17546865,0.5742531,-0.49545848,-0.05515253,-0.03597181,-0.16117832,0.15554887,1.4377292,1.6326545,0.5566418,0.41641486,0.18004204,0.665837,0.2517725,0.67242974,-1.4016415,-1.1843476,1.1612496,0.5742401
s1-5,-1.1974138,-0.29730472,-0.8695621,-0.5699007,1.1389655,0.956888,1.5826838,0.40083736,0.22788955,0.655635,-0.9374356,1.711169,0.28886998,-0.2815868,0.28616682,0.15355551,2.8194299,-3.10386,0.9902665,-0.88264585,-2.530886,-1.9545695,0.6737039,0.4296359,-0.31858692,0.7512867,-0.699352,2.1304185,-1.9004421,-0.3358702,0.19015425,-0.0890976,-1.0375655,-0.9971454,-2.069249,0.88624185,2.2422855,0.635593,-0.70176303,0.20900382,0.028911587,0.37391487,0.2804745,0.4409171,-0.5772971,0.9069951,-0.4909006,0.13397677,0.11086453,-0.7221315
s1-6,-5.151247,-5.546241,3.3283708,-0.31961834,-2.7093446,0.35663012,-2.830476,0.09008501,-1.6314787,-0.37380686,-0.46190354,-0.30392748,0.41448644,1.0890732,-0.79942435,1.13078,-0.53258,-0.93723416,-1.7465452,-0.6892535,-0.9725723,-0.68969774,-0.3447023,-2.339345,-1.17143,-1.389831,-0.023098672,0.015176173,-1.0342711,-0.24944223,-0.2519623,0.9377592,-1.0538285,-0.1880516,1.0529411,-0.20755994,-0.69182616,-0.7081435,0.5545018,2.0365708,-0.4238272,0.4318171,-0.3375898,-0.47023702,0.7740784,0.4233021,-0.7130777,-1.3867502,0.5020371,0.24091297
s1-7,-3.566454,-3.243752,0.5909797,-0.8789731,2.2248044,-0.79275864,-0.3511543,0.927369,0.4671249,0.17717424,-0.40488255,0.93082494,0.7708966,-0.5027408,-0.958818,0.53561515,-0.38854906,-0.2933037,-0.065883026,-0.58981985,-1.303463,0.97305965,-0.081470035,0.18869664,0.7460606,-0.60158783,-1.3596505,0.64081395,1.565857,-0.5705983,0.14813696,-0.71706605,0.22924301,-0.109150484,0.872198,0.17910476,0.32050222,0.16963205,-0.2834296,0.6001551,-0.7558311,0.30089223,-0.0654998,-0.63771915,-0.23994382,-0.9036847,0.8750162,0.13694821,0.27114347,0.1647621
s1-8,-4.22563,-4.071482,0.81165767,0.45054552,0.94291043,0.5363289,0.39820054,-0.26377,0.18705249,1.2828838,-0.20609929,0.43234503,1.4121509,0.39695457,-0.58026606,0.18268211,-0.5209912,-0.9188216,0.48315787,1.0391244,-0.6899543,0.6054953,1.0154948,0.079374276,0.602331,1.0685873,-0.20904255,-0.17185476,0.9528471,-0.25019163,-0.3387103,-0.69361985,-0.35330775,0.90307856,-0.6159369,0.3105933,-0.7852944,-0.66385835,-0.19603933,0.3715384,-1.3384525,1.1004388,0.7801021,-1.5613549,-0.009116396,0.17743911,-0.2835298,0.6259391,-1.4096924,-0.49226975
s1-9,-3.6792908,-5.1004257,1.7770017,0.060571276,-1.0980519,-0.52735054,2.3712392,0.10189184,0.68654835,-0.82718456,2.0970566,-0.30828428,-1.7145672,-2.030538,-0.866808,-0.42164785,0.82736146,0.13516034,-0.03867693,0.32589078,0.46918952,0.11789138,0.79015434,1.1718584,0.6853616,-0.8058094,1.2459054,0.6616154,0.9306504,0.24988382,-0.21066378,0.05058482,-0.30092424,-0.4264935,0.7179635,0.6914548,-0.7639989,0.04069996,1.0610198,0.24842653,0.69475585,0.5837632,0.21099842,-0.13709843,-0.38061532,-1.1494104,0.17565766,0.7245968,0.07877706,-1.098061
