,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
s1-0,-0.6821715,0.81132466,0.76870567,0.8973673,-1.1340766,1.527783,0.7204625,-1.6834949,1.2822354,0.5316257,-0.30900967,-1.2245489,-0.05647674,0.32974893,-0.4780001,0.23668627,1.8562938,0.1947689,0.62323797,0.07577675,-0.029722324,0.48993286,-0.1784553,-0.3291779,2.5122845,-0.25505185,0.11511255,1.0654707,0.3160523,-0.8641435,0.24254867,1.2567551,-1.4627603,-0.634557,-1.3771253,-0.03325889,-0.6025151,0.9648126,0.9107276,-0.21105137,0.66135603,0.61358285,1.6670463,2.186798,1.0566412,-0.9149099,2.0100148,1.03953,3.5889978,-0.25624722
s1-1,-0.21839009,0.6912464,1.3169874,-1.169355,1.9746063,-0.108267754,-1.1339848,0.75830215,-0.27089033,-0.18403906,0.70868504,-0.7416163,1.1070484,-1.7417997,0.810508,-0.026753662,-0.69148713,0.6271019,-1.6016198,-1.8861161,-1.2989281,0.7237244,0.15693033,-1.4637444,-2.406174,1.1333067,-2.482403,1.5855783,-1.1885552,-1.6859361,-0.40936324,1.4950663,2.0075736,1.026129,-0.14244558,1.342041,-0.4696699,-0.48393044,-3.0771203,2.3031538,0.07038342,-0.06267721,-0.7932842,-1.5029908,1.1892895,1.2995594,0.08784891,-0.9169183,1.0076274,0.50309336
s1-2,0.47262368,1.37922,-1.0952883,-0.07843037,0.9256685,0.6015265,2.1316867,-0.17305583,2.2967207,0.73866355,2.3426566,-0.21536174,-0.15136385,-2.9368541,-1.8291223,-0.4757431,-0.8076308,-0.690901,0.9494948,-1.1795093,-1.5917531,0.43634582,-0.7982273,-1.589649,1.293972,-0.82213783,1.5373797,-1.731914,1.0624223,-0.6087691,-0.5356475,-0.47593495,0.9866796,0.2331973,0.67582285,0.34694275,1.11534,-0.59189373,-2.1296103,0.83310753,0.89004564,-1.3874689,0.5433753,-0.0939759,-2.06207,-0.5495336,-2.4961026,0.20879433,2.893919,0.006542
s1-3,0.08875324,1.5055233,1.3195567,0.35605145,1.3107023,-2.1630852,-1.2213364,0.7209964,1.4062473,0.7365357,1.183654,-1.2161893,-1.6017053,1.2395765,-0.3533867,-1.075284,0.32694623,-1.1041358,-0.84457284,-1.122534,-0.8582922,-0.56703717,-0.8899258,0.51877624,1.8298768,0.03853349,-2.2423017,-0.8552532,-2.1841004,2.1104841,-1.5219296,0.38306886,-2.4539661,1.1068803,-0.24222636,0.07414632,-0.35268822,-1.3513923,0.16067146,-1.1528003,0.55655974,-1.1748378,-0.5901836,-1.0371222,-0.14896435,1.7333376,-0.11337067,-2.0184832,1.6080519,0.3698661
s1-4,2.1352262,-1.2651316,1.12227,-3.673105,-1.6046258,0.5494553,1.5176505,-1.8447742,-1.2533331,0.761803,0.98536354,0.35674182,3.1977773,-0.23239653,1.2673873,0.16143508,-0.0052077556,-0.0025916633,-1.7417202,-0.45236975,-0.96315867,1.7677065,-0.64891356,0.74953884,-1.4996943,0.56365293,-0.6469527,1.195096,0.9294536,-1.2980014,-0.49822012,1.5455234,-1.872495,-0.9849121,-0.18605012,-1.3052989,0.13988683,-0.70387083,-0.99504143,0.8969482,-0.3630355,-1.0698206,1.20801,-0.19514686,-0.014618672,-2.3978727,0.93090916,-0.104443595,-1.2060462,1.2807512
s1-5,-0.5773856,-0.9661259,-0.6294494,1.650326,1.5747248,0.8521626,-0.51523334,-0.39838234,-0.56545657,-1.2417216,0.588184,-1.191757,-1.5258675,0.5577867,1.2449677,0.38876158,-0.51782846,-0.6101218,-2.2129598,1.1691647,0.5372763,2.7866864,0.74241924,0.7789052,-0.61939234,1.0336796,1.3567528,-0.51113343,0.47635058,1.0146859,0.37636188,-0.092925124,1.025316,0.28581655,-1.461879,0.81730986,0.8254051,0.37981516,-1.9564509,1.4180197,-0.5706359,-0.57531273,1.0912266,-2.5569835,-0.35509324,-0.9422329,0.6472773,-0.33426213,-0.9034127,-0.9018786
s1-6,0.9537939,2.8658578,1.9387287,1.0056204,0.5745958,0.9408691,0.5694771,-0.9053382,0.14895679,-1.2885097,-0.72212154,-0.30156147,2.0628552,2.4779446,-0.555544,0.31230056,-1.3660396,0.10967891,-0.7098248,2.300876,1.4581233,-1.2878096,-0.30149817,-0.41108194,1.6157339,-0.31779152,-0.092074275,0.83342683,0.3486775,-1.0054196,0.37931788,-1.1921055,1.9578468,-0.65841866,0.7649388,0.20131333,-0.12146105,0.7610937,-0.119212784,-0.21317516,-1.4650588,0.031243423,-1.7129296,0.3644478,0.042815626,0.57716745,0.953879,1.0570934,-1.1455775,-0.94375116
s1-7,1.4839523,0.29426265,-0.26524636,2.706611,-0.2178801,-0.67446214,0.8681898,0.18842587,-0.62970144,1.6733779,1.2650816,-1.044541,-1.1646514,0.4680229,-0.1593452,0.83783036,0.9247022,-0.8916562,0.9056325,0.6735411,-0.6369849,0.65682983,1.2246301,0.27662003,0.68483627,-0.03208674,1.313518,-0.24331577,-0.52798504,-1.515047,0.39957476,-1.5987741,4.141624,0.34321854,-1.8119644,0.5275142,0.84925455,-1.6541935,-0.16181177,-1.8886459,-1.1639072,0.12337287,1.1456078,0.744001,0.36108446,0.5031497,-0.31980148,-1.8422085,-0.42437413,-1.5276334
s1-8,-0.35969597,1.170443,1.7648667,0.3296081,0.36994848,-1.147247,-0.6947653,0.053442687,2.44393,-0.8154015,-0.27597246,0.9606502,-1.223089,-0.776247,0.76307946,0.9408628,2.3440902,-1.9962864,-0.06883332,-1.6127472,-1.4996094,-0.0019774947,-1.7342342,0.026656894,-1.0053291,1.3047982,1.4728106,-1.7498417,0.1745569,0.47958997,0.21254177,-0.2959975,0.08954492,1.7963961,0.40765235,-0.283932,0.15355934,-0.03842728,1.2834858,1.7458916,-2.2532036,-0.76969254,1.0408156,-0.53699434,1.051767,2.2380962,-0.38593447,1.8472483,-0.037423357,-0.43743768
s1-9,0.60666513,-1.6258358,1.5186434,-0.6068911,-0.41706958,-1.4605775,-0.40192774,0.7844844,-0.39952168,-0.99006224,-0.7971721,-0.6985403,1.4875153,-0.36278123,-1.1085416,-0.03337369,-0.4774068,-1.7330985,0.22077698,1.9908404,1.9700613,-0.64553475,-0.09158683,-1.2596313,-0.23010448,0.7039962,-0.060273055,1.6655387,2.5417771,-0.21484436,-0.11327971,0.96586454,-0.27164254,1.1718178,-0.7074788,0.5136487,1.0747164,-2.318153,0.5299752,-1.7167357,0.22349711,0.22818017,1.7354743,1.6882021,-0.7839966,-1.6183158,-0.670323,-0.6357625,0.4371413,-0.874467
