,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
s1-0,0.26078314,0.39122906,-0.29050454,0.34487563,-0.3290129,0.11677914,0.029581243,0.025202267,-0.2063896,0.19966337,0.22130619,0.030231668,-0.037418634,0.3432487,0.09900488,0.15373169,0.2414167,0.46778837,0.0812678,-0.3891044,-0.08866028,-0.1348203,-0.13836727,-0.041842848,0.025912605,0.066098556,-0.32603848,0.1583197,0.09885566,-0.7400012,0.110302195,0.15952462
s1-1,0.0907458,0.45733494,-0.25511757,0.2637333,-0.32515028,0.029218728,0.131512,0.01835068,-0.1394813,0.24229717,0.2146469,0.023525925,-0.055558767,0.40847373,0.08572835,0.12595846,0.15033685,0.45148486,0.12845904,-0.26171297,-0.042673264,-0.17595223,-0.15989693,-0.14924867,0.029500458,0.05593617,-0.4084987,0.24851544,0.11650064,-0.68390423,0.12460589,0.15371397
s1-2,0.19515878,0.44997504,-0.31079784,0.26795092,-0.33356538,0.1296098,0.13320039,-0.020894881,-0.18613559,0.2545468,0.27239227,0.03315333,-0.022797925,0.3553569,0.025009818,0.14813274,0.055637203,0.48769763,0.1002139,-0.18329248,-0.12176288,-0.08193145,-0.11733929,-0.108944446,0.024152333,0.044279642,-0.33575672,0.295285,0.1022497,-0.7398933,0.02742941,0.2458925
s1-3,0.17165512,0.44744214,-0.13245371,0.24971811,-0.35738677,-0.01558384,-0.06700119,-0.04207976,-0.15811466,0.12461842,0.19215861,-0.04387298,-0.01829051,0.25691777,0.1283072,0.013136943,0.35982603,0.38256118,0.15491918,-0.4686822,-0.059228964,-0.18329549,-0.07334459,-0.004607811,-0.043940637,0.027934216,-0.31746083,0.066458635,0.10586238,-0.58226097,0.18658888,0.07499234
s1-4,0.1629148,0.45109773,-0.24230477,0.30633694,-0.36086115,0.10936385,-0.08057588,0.092940725,-0.3184821,0.12957117,0.19587564,-0.09675187,-0.06118268,0.27333394,0.12568878,0.08120533,0.28146526,0.44018236,0.035031788,-0.42661417,-0.16107066,-0.14927788,-0.09787024,0.06628261,-0.1062096,0.09108926,-0.28704986,0.073970005,0.0855776,-0.7587861,0.11382165,0.120971784
s1-5,0.22294411,0.333642,-0.1679439,0.3213823,-0.35034308,0.14312185,-0.07155338,0.013583765,-0.30275828,0.1028697,0.22171888,0.0011611544,-0.0529146,0.29347822,0.10221287,0.1183073,0.20516005,0.43593392,0.072664745,-0.33142862,-0.1647239,-0.14163996,-0.061856523,0.06768508,-0.17977963,0.055882305,-0.2903551,0.012292336,0.06663568,-0.76141036,0.0552805,0.14651376
s1-6,0.33459112,0.13457587,-0.3935818,0.34416208,-0.31431878,0.17131498,-0.2720926,0.13170995,-0.38699257,0.00051048404,0.10894283,-0.007429949,-0.09008575,-0.26974198,0.028904941,0.19851743,0.47967142,0.4907722,-0.18197727,-0.86955184,-0.259938,0.032503713,-0.13775685,0.0006200942,-0.0013911349,0.11163212,-0.13913622,0.067864716,0.026009893,-0.7521184,0.1138453,0.10169064
s1-7,0.3440346,0.07309015,-0.44192383,0.36104146,-0.23976818,0.19839008,-0.21618128,0.0866725,-0.40139648,0.007409785,0.09389134,-0.014159419,-0.07512455,-0.29291758,0.06978755,0.27645656,0.37412062,0.5035355,-0.20545894,-0.831801,-0.32326755,0.1556351,-0.17548916,-0.046155047,0.004520262,0.16998664,-0.08875974,0.13374592,0.056767814,-0.77706635,0.08074783,0.17224433
s1-8,0.28723484,0.17517975,-0.39091927,0.3819939,-0.27946687,0.21034375,-0.2865584,0.13495311,-0.39044034,-0.0048590996,0.08905452,-0.022053739,-0.09987407,-0.33157974,0.09953995,0.19465214,0.4198552,0.41876838,-0.20902495,-0.7229064,-0.3319859,0.17485397,-0.08536309,0.050876662,-0.03703024,0.13975269,-0.089716524,0.05146942,-0.016573487,-0.8199453,0.06507781,0.16763426
s1-9,0.2875434,0.18839741,-0.27189034,0.3107747,-0.26946414,0.18392438,-0.25622505,0.10815923,-0.38081416,0.018926766,0.1660539,-0.11776565,-0.026746158,-0.19134015,0.08540616,0.20441599,0.3839731,0.460244,-0.092394665,-0.6435284,-0.23789096,0.04338028,-0.05683363,0.10642168,-0.14531416,0.12272461,-0.17207734,0.07266868,0.079868086,-0.77880687,0.16177373,0.12665272
s1-10,0.3377675,0.10448508,-0.38987556,0.304494,-0.30534127,0.15545522,-0.16241366,0.08756612,-0.34055823,0.041243814,0.09767169,0.032030698,-0.08118177,-0.28397256,0.08417288,0.24062972,0.35745293,0.50287116,-0.13883227,-0.73114717,-0.26891157,0.0069209263,-0.15358877,-0.09020337,0.038604014,0.1197074,-0.20083494,0.14046833,0.031321924,-0.7823339,0.113013595,0.17826694
s1-11,0.30099696,0.052016824,-0.3755607,0.40840012,-0.27616096,0.24111241,-0.4454959,0.16694565,-0.5150573,-0.090006866,0.06850331,-0.064833805,-0.06275529,-0.45003325,0.101808146,0.21393907,0.5394378,0.4299027,-0.20116596,-0.84070903,-0.41837355,0.24283381,-0.08553049,0.116827466,-0.14648975,0.101712935,-0.05356132,0.025299523,-0.03802297,-0.8636345,0.091287896,0.1343822
