,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
s1-0,0.09496589,-0.20570388,0.065609954,-0.17571706,0.13305537,-0.06706654,-0.25653002,-0.16360922,-0.08631854,0.026998974,0.29591674,-0.008956166,-0.009211641,-0.24534519,-0.107391566,0.17271362,-0.11310228,0.02167373,0.20790455,-0.19912076,-0.16216122,-0.11273719,-0.23862532,-0.20732217,0.18933287,0.09423889,-0.094068766,0.11762628,0.23991235,-0.016520895,0.34592634,-0.20737348
s1-1,-0.03290593,-0.14188771,0.01979529,-0.13572398,0.093167186,-0.12904397,-0.24912551,-0.13696106,-0.11614603,-0.013633581,0.3073985,0.046196446,0.09032469,-0.1665098,-0.15128522,0.118075095,-0.16179034,0.07172556,0.1511459,-0.24374893,-0.22172672,-0.15580748,-0.1446902,-0.26230767,0.11152178,0.13766433,0.021875177,0.21036875,0.33255684,-0.059093878,0.36262655,-0.023506194
s1-2,0.09188746,0.019965354,0.11311788,-0.17416501,0.073377594,-0.07331582,-0.106347725,-0.30806187,-0.16510071,0.042360783,0.295287,0.030341327,0.06731749,-0.14751437,-0.04248788,0.2488211,-0.09852305,0.05067271,0.07889679,-0.13730721,-0.066326566,-0.021915924,-0.17571798,-0.25692362,0.19787237,0.09868258,0.083816804,0.17515254,0.39409238,0.020644113,0.38449377,-0.16445893
s1-3,-0.005089164,-0.06328786,0.053023525,-0.2797524,0.09648004,-0.039890572,-0.22257729,-0.13832441,-0.025458615,0.008185059,0.46898198,0.04021189,0.04603722,-0.13982725,-0.1392908,0.17516358,-0.12944081,-0.0045899767,0.10563903,-0.16880687,-0.16214535,-0.16245365,-0.18192458,-0.29266706,0.16247901,0.06770227,0.0645377,0.20705882,0.23709562,0.12625577,0.25937998,-0.12290553
s1-4,0.10479587,-0.1063139,0.10235106,-0.138441,0.19578257,-0.14081967,-0.16099837,-0.19920433,-0.086765565,0.0110416245,0.18906565,0.017472668,-0.044646215,-0.13346072,-0.07974636,0.32197404,0.08747322,0.16275764,0.17897542,-0.22352871,-0.11119622,-0.13580817,-0.13092563,-0.15158105,0.15518148,0.116421506,-0.029848076,0.109518394,0.38525343,-0.06132503,0.2670359,-0.12915623
s1-5,0.06307849,-0.1949649,0.071933255,-0.14002158,0.2115383,-0.07256712,-0.10961987,-0.06368909,-0.15733647,-0.004055772,0.34719425,-0.13652433,0.19133443,-0.16031602,-0.07306154,0.20012373,-0.10429223,0.08804697,0.22342235,-0.26794487,-0.16782412,-0.13277593,-0.17049798,-0.27927405,0.15296513,0.09084535,-0.05841627,0.18378308,0.24543184,-0.06579823,0.29326922,-0.06591392
s1-6,0.020994753,-0.26335448,0.03514997,-0.18391027,0.18853652,-0.12738192,-0.23428692,-0.1409174,-0.03529933,0.03106704,0.27987856,-0.06019422,-0.029022887,-0.21796119,-0.14751184,0.18564498,-0.016576413,0.060810387,0.18173759,-0.25932342,-0.16072172,-0.06370191,-0.18776524,-0.1424317,0.16286495,0.13106619,-0.15999046,0.10549052,0.16334693,-0.019035107,0.24154197,-0.18891034
s1-7,-0.0055367276,-0.29308474,0.06524869,-0.17679694,-0.021533715,-0.23448518,-0.3402112,-0.12779808,0.02381492,0.14843172,0.22111812,0.039318528,-0.08828512,-0.24858986,-0.2651079,0.22354563,-0.016528023,0.06499908,0.15822041,-0.17891274,-0.07929134,-0.060441393,-0.21158418,-0.04570365,0.16115135,0.13752054,-0.10405622,0.14554074,0.2313408,-0.05076524,0.2386592,-0.047694378
s1-8,-0.097487755,-0.19071403,0.11098483,-0.30962616,0.049603477,-0.21006244,-0.34094185,-0.03168344,0.16840343,0.20357095,0.22018187,0.110718586,-0.39831313,-0.17254235,-0.22322433,0.111581996,-0.013478809,0.0011020955,0.046893038,-0.1497661,0.02072202,-0.07979362,-0.09021367,-0.16129428,0.1132485,-0.021456195,0.051877495,0.098075815,0.18446003,0.018713143,0.17393178,-0.29813904
s1-9,0.070453644,-0.15908498,0.21210174,-0.19714375,0.043372534,-0.18728516,-0.31059974,-0.05794003,0.05076328,0.075340375,0.22965857,0.08054619,-0.36059952,-0.18307537,-0.24165234,0.13408065,0.048719384,-0.051838256,0.11811867,-0.23388997,-0.06460152,-0.12091766,-0.23360708,-0.07372707,0.12819618,0.07561421,-0.08360848,0.016907074,0.16728249,-0.04378576,0.18210742,-0.27879366
