,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
s1-0,0.025805064,0.18673947,-0.22844665,0.10527467,-0.14619842,0.07026495,-0.1144222,-0.28472632,0.07940353,-0.020628234,-0.088168025,0.28000522,-0.14474937,-0.18611044,0.16847919,0.30061746,0.16441256,0.07879917,0.04357585,0.20041303,-0.14128205,0.19718465,0.16981503,-0.16513081,0.23958836,0.048995323,0.0010048561,0.31695253,-0.12207604,0.18750443,0.031619653,-0.06317038
s1-1,0.26635224,0.030013198,0.1109239,0.12727326,0.037476778,0.10868339,0.1784893,-0.119148985,0.11316911,-0.14650688,-0.18641442,0.38292247,0.11226997,0.02337813,-0.020183206,-0.07494858,0.024834596,0.18282203,0.09373908,0.028823435,0.2891987,0.15185764,0.14750591,-0.23012775,0.29525363,-0.009126955,-0.052492436,0.13254751,-0.1963025,0.3831671,-0.12067008,0.034367077
s1-2,0.2630254,0.16573498,-0.084942,0.08518024,-0.3617501,-0.030440513,-0.0036263084,-0.24887747,0.044123873,0.033043925,-0.07275182,0.025078423,-0.054559387,-0.11864412,0.13119382,0.21190336,-0.11590155,0.26061967,-0.01563254,0.13199653,-0.04155609,0.15222882,0.26736677,-0.4386265,0.07106419,-0.035737023,0.053011373,0.24288979,0.028712593,0.09589994,0.14186834,0.14577046
s1-3,0.10620155,0.18100552,0.021947235,0.051621586,-0.22399032,-0.0036150627,0.2889804,-0.022668485,-0.015804281,-0.072014645,0.017808538,0.24861863,0.14291382,-0.120364696,-0.14587118,0.13977969,-0.08120704,0.020156045,0.069141,0.23086628,0.38174778,0.08817353,0.33492607,-0.33950317,0.06881882,0.03520391,-0.27216485,0.07921087,-0.2322968,0.16612427,0.0044107647,0.07012768
s1-4,0.22094068,0.025205914,0.08313637,-0.13492613,-0.12845111,-0.03263317,-0.059789326,0.114452034,0.41867486,0.22864518,-0.20960478,0.059777685,0.24412629,-0.1265719,0.13124192,-0.04008726,0.0054210667,-0.08959749,0.11861079,0.062267553,0.41750816,0.13956545,0.22264984,-0.33615422,0.099650264,-0.0106647555,0.17096023,-0.08479679,-0.0032723434,0.09489773,-0.010801553,-0.11055955
s1-5,-0.2746663,-0.09034588,-0.11328044,-0.18571967,-0.07460348,-0.059326194,-0.13609728,0.22393578,0.17947762,-0.030410472,0.022568658,-0.06752421,-0.003906574,-0.26236683,0.4384197,-0.08369247,-0.10113947,-0.08610241,0.080009766,0.16710865,0.36421686,-0.021381296,0.15386295,-0.29848862,-0.00033934787,-0.049682714,-0.059755053,-0.14096862,0.123961955,0.11764194,0.12611572,0.10575107
s1-6,-0.068440065,0.17779891,-0.2249679,-0.36500722,0.18115343,-0.03773578,-0.0005208552,0.117642626,-0.12282501,0.1391482,-0.10108938,-0.022878852,-0.05658878,-0.13582225,0.078311,0.39387268,0.31562132,0.05464066,0.108818814,0.12389434,-0.019169984,0.10015545,-0.2130679,-0.072165154,-0.1472753,0.089204766,0.21796845,0.066496454,-0.14990368,0.1666943,0.2335174,-0.059131555
s1-7,0.15747318,-0.22300887,-0.37064368,-0.27171922,0.020422537,-0.11772209,0.11168003,0.15218551,-0.055341925,0.33520466,0.02612872,0.05910179,-0.17699143,0.13128626,0.04647884,0.37456447,0.077562466,0.10803024,0.13300928,0.028035805,-0.12801723,-0.08827648,-0.18555713,0.15661372,-0.11116442,0.18897939,0.1778402,0.064100236,0.06681317,0.26022387,0.10816713,0.1534146
s1-8,0.07426429,-0.06966056,-0.080565915,-0.36401087,-0.03317,-0.05340282,0.1398826,0.22165574,0.07961966,0.2117551,-0.22855127,-0.23588598,-0.09331514,-0.11980191,-0.06834616,0.22473139,0.22124648,0.15472123,0.20903601,-0.060348354,-0.0065816445,-0.14914335,-0.26554957,0.16797695,0.0622741,0.16920002,-0.003321209,0.1732816,-0.010474681,0.17465004,0.23227766,0.12288414
s1-9,-0.060521483,-0.10244131,0.05112702,-0.295838,0.07695432,0.03139904,0.12230402,0.19227329,-0.28897065,0.14127077,-0.06673139,-0.17260094,-0.15562391,0.09032293,0.052243754,0.2598539,0.029904554,-0.013773859,0.059451874,-0.02389333,0.060242668,-0.08587057,-0.16354963,0.45137325,0.076578066,0.22711504,-0.0012096651,0.12054708,0.079958975,0.33221513,0.22386163,0.21235669
s1-10,0.21907866,-0.14173256,0.0351514,-0.17729302,0.11627571,-0.072170705,-0.013548724,0.33453298,-0.03786293,0.16564563,-0.01970867,-0.17988953,0.04150248,-0.049929906,-0.01884535,0.23852262,0.08597544,0.21612152,-0.041747756,-0.23094949,0.011679414,-0.23145485,-0.3235306,0.26674652,0.047747213,0.12804389,0.0098532885,0.20235169,0.15048735,0.26425397,0.20140737,0.070735484
