,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
s1-0,0.01036763,0.006532622,0.004703319,0.024148677,0.005950869,0.0132264355,0.0066157393,0.021028817,0.006516329,0.023454884,0.0094869565,0.03393962,0.0013942558,0.012490066,0.03443619,0.0258516,0.016338235,0.005117969,0.037715044,0.09047673,0.066287406,0.014561292,0.0113422675,0.0102854865,0.027617216,0.005222189,0.023969183,0.012746016,0.028623052,0.008174078,0.009376453,0.01839509,0.03867348,0.0042243972,0.030362114,0.024277177,0.02700731,0.011397017,0.011039913,0.055925973,0.0063837976,0.0781968,0.010145448,0.0144894,0.019483771,0.010114404,0.0063163433,0.009703591,0.008740295,0.0071270545
s1-1,0.016745487,0.04593035,0.011893659,0.01567458,0.012030993,0.008084961,0.021856196,0.012598205,0.013738021,0.02138676,0.018274069,0.041034702,0.016147321,0.007377295,0.008168388,0.04733003,0.04457834,0.017804138,0.03275776,0.0043801665,0.0059169796,0.029496742,0.06596914,0.020870091,0.015780196,0.01629974,0.010125391,0.0076539316,0.03444621,0.012254851,0.010099834,0.012448025,0.020518575,0.027469542,0.028772768,0.01466177,0.010157658,0.009930344,0.030437095,0.0071727843,0.023444075,0.032634113,0.03724188,0.022357836,0.013849053,0.008595716,0.015751014,0.010525437,0.008057889,0.019269576
s1-2,0.01191807,0.023983728,0.0024753169,0.028709292,0.02473214,0.02660877,0.030060071,0.0046718735,0.034196682,0.007677399,0.009036299,0.051520456,0.030609671,0.010065282,0.0064678723,0.03513945,0.013201995,0.0063700527,0.037197933,0.011852111,0.036334958,0.021040756,0.024526842,0.01189811,0.0734605,0.010289777,0.0058135767,0.01834323,0.0629102,0.005815179,0.009096578,0.01888552,0.007621688,0.004156335,0.011987575,0.023077732,0.022080293,0.013763137,0.005157016,0.023996364,0.014755325,0.023064343,0.028294133,0.009003981,0.025446985,0.02533594,0.007319897,0.028169055,0.00984561,0.012014777
s1-3,0.0061435667,0.0105402,0.002134569,0.023122068,0.011368766,0.01650038,0.009136466,0.063681856,0.0033701067,0.010319658,0.0028280707,0.011692708,0.0044837645,0.012172316,0.05127587,0.014299324,0.018128227,0.03480939,0.021876121,0.060271803,0.010649676,0.031490553,0.07968204,0.03022577,0.03439504,0.015820839,0.05776151,0.0064747976,0.015606336,0.031630654,0.013980665,0.037566092,0.030198373,0.011739433,0.013742042,0.0035134077,0.0255332,0.01138261,0.0068999906,0.010625512,0.006981497,0.011793261,0.00501626,0.01885544,0.010335096,0.007565761,0.018110197,0.011862051,0.0072273626,0.035179045
s1-4,0.008219649,0.01740587,0.04532902,0.072662234,0.034180883,0.012790106,0.022661326,0.014544879,0.010910054,0.01954152,0.0052211066,0.008094112,0.015565332,0.003159976,0.008083455,0.035826586,0.028408647,0.0062791826,0.014062665,0.0036436312,0.0066451407,0.009477582,0.011798466,0.02189017,0.0056961747,0.024152458,0.012521472,0.010332199,0.014477029,0.014636109,0.054989506,0.04943849,0.031443838,0.044863183,0.02772197,0.0055070766,0.04396006,0.011009102,0.037322283,0.016075602,0.013786737,0.0120706055,0.05627979,0.017034333,0.011802784,0.0076888697,0.015388027,0.015112061,0.0047444254,0.005544101
s1-5,0.010330912,0.008736981,0.004179015,0.04909754,0.013902691,0.008010375,0.023668865,0.012500911,0.014565085,0.00838983,0.037624624,0.010630726,0.008848579,0.035300698,0.005357078,0.009246343,0.039019,0.012427917,0.03219155,0.007782543,0.06412617,0.02022237,0.05716685,0.018049877,0.009044882,0.011882469,0.008692752,0.030786654,0.01041929,0.04201262,0.008159388,0.050112855,0.018482035,0.0070132846,0.010376587,0.019771418,0.014645794,0.008233261,0.028460292,0.020911142,0.0058578816,0.04085314,0.006301401,0.0141193485,0.037013333,0.00956955,0.007938755,0.05177529,0.008767012,0.0074228025
s1-6,0.0662423,0.0035042092,0.0023844,0.0058019934,0.03548953,0.002966779,0.03004881,0.01235975,0.006080471,0.0015796678,0.0047719297,0.09850936,0.030941306,0.0014557465,0.0075204284,0.002655239,0.056046862,0.0034389442,0.0025979744,0.0014659123,0.0037045483,0.0028734189,0.011839886,0.04446477,0.0024925119,0.13697664,0.015527633,0.010166822,0.0020779257,0.007425625,0.0015220272,0.0021027767,0.027985785,0.012944475,0.0017560542,0.004863629,0.00037603505,0.0022936617,0.026893176,0.003765567,0.009528765,0.0031112642,0.038639326,0.0147463735,0.10626016,0.0040942775,0.06311611,0.01273592,0.03419722,0.015655916
s1-7,0.039770585,0.0040904847,0.0028077303,0.0077794692,0.06445637,0.0028333622,0.050783165,0.007038696,0.03190165,0.003993546,0.019185202,0.024679717,0.013678119,0.01125139,0.010696779,0.0061664884,0.019589925,0.022181882,0.0074982047,-0.00024813117,0.0038093135,0.0052231536,0.0027268261,0.08403555,-0.0010641988,0.040975858,0.003442489,0.014387346,0.0020364234,0.007963737,0.011958965,0.007093533,0.00421633,0.0024941775,0.003885548,0.012288337,0.028791346,0.02758381,0.01310078,0.025272291,0.0051301685,0.007768446,0.0031267798,0.07965236,0.1041049,0.0064839846,0.090027824,0.022207575,0.02109303,0.010049081
s1-8,0.050609216,0.0033999751,0.0026099954,0.033568528,0.043406166,0.010670702,0.0060626855,0.006015426,0.009802499,0.00473125,0.0060525425,0.043382112,0.003931739,0.01921022,0.02957528,0.005178332,0.03425291,0.0043920223,0.0037660121,0.056242097,0.007512427,0.0035317244,0.016301855,0.027718388,0.0039889775,0.017038025,0.028003804,0.036315937,0.0019429494,0.010573997,0.006133381,0.025206838,0.0026854472,0.019015357,0.012856742,0.006530548,0.04134873,0.002021222,0.0071633565,0.028247539,0.017453361,0.026857052,0.0024931354,0.06432594,0.072098844,0.01005256,0.097889066,0.012332304,0.008561402,0.0069389297
s1-9,0.07859209,0.028358268,0.0016192293,0.008111856,0.031092279,0.0052189296,0.029172096,0.0063146213,0.013192308,0.007205301,0.00083134015,0.052014522,0.009271307,0.0045012683,0.0015452497,0.009490102,0.048446495,0.014430717,0.0075637414,0.0009981024,0.0056257755,0.012930376,0.0396758,0.12968928,0.0024072097,0.023640893,0.0004850532,0.01742659,0.015458124,0.006877119,0.014119003,0.01641971,0.0025612442,0.022189619,0.015125002,0.007124498,0.018972654,0.005078124,0.0007419784,0.006592242,0.029274086,0.0011434047,0.014533357,0.086284816,0.039500933,0.004024371,0.08234923,0.011037339,0.0030136714,0.0077286395
