sample,method,PAS,CHAOS
SpatialRnaAtac-50,MultiVI,0.5714857829395275,0.0930912894756189
SpatialRnaAtac-50,Cobolt,0.5594713656387665,0.1008629408737991
SpatialRnaAtac-50,CLUE,0.2727272727272727,0.081278387095779
SpatialRnaAtac-50,UINMF,0.6371645975170204,0.0981879642451106
SpatialRnaAtac-50,StabMap,0.5822987585102123,0.1075981216655482
SpatialRnaAtac-50,MIDAS,0.7260712855426512,0.103175264213945
SpatialRnaAtac-50,Cobolt,0.5594713656387665,0.1008629408737991
SpatialRnaAtac-50,scMoMaT,0.8301962354825791,0.1061215135424091
SpatialRnaAtac-50,SpaMosaic,0.0849018822587104,0.0710101586534037
SpatialRnaAtac-100,MultiVI,0.5873033098209441,0.049823348669192
SpatialRnaAtac-100,Cobolt,0.5667932718393923,0.0521484299772753
SpatialRnaAtac-100,CLUE,0.266087900162778,0.0427802131071049
SpatialRnaAtac-100,UINMF,0.6334237655995659,0.0538431609878677
SpatialRnaAtac-100,StabMap,0.8600108518719479,0.0625947209414789
SpatialRnaAtac-100,MIDAS,0.636462289744981,0.0515754579790051
SpatialRnaAtac-100,Cobolt,0.5667932718393923,0.0521484299772753
SpatialRnaAtac-100,scMoMaT,0.7415084102007596,0.054338006464041
SpatialRnaAtac-100,SpaMosaic,0.0652197504069451,0.0375544035767662
SpatialAtac,MultiVI,0.7559023609443778,0.1057521723142955
SpatialAtac,Cobolt,0.7863145258103241,0.1071806244343019
SpatialAtac,CLUE,0.0148059223689475,0.0693220219351194
SpatialAtac,UINMF,0.7330932372949179,0.1068666748427962
SpatialAtac,StabMap,0.9643857543017208,0.1296132041998968
SpatialAtac,MIDAS,0.8195278111244498,0.1099803541062752
SpatialAtac,Cobolt,0.7863145258103241,0.1071806244343019
SpatialAtac,scMoMaT,0.8587434973989596,0.108443813921281
SpatialAtac,SpaMosaic,0.141656662665066,0.0736229628420754
DBiT,MultiVI,0.5879227546745683,0.0478463858769016
DBiT,Cobolt,0.6315520588535812,0.0520121477362907
DBiT,CLUE,0.3330949218350874,0.0419025843916701
DBiT,UINMF,0.5814856442219271,0.0498361660956839
DBiT,StabMap,0.7727597833861245,0.0582790070607647
DBiT,MIDAS,0.6332890569122305,0.0486494973829306
DBiT,Cobolt,0.6315520588535812,0.0520121477362907
DBiT,scMoMaT,0.7889036476959231,0.0521443744671791
DBiT,SpaMosaic,0.0643711045264125,0.0348826756959767
