sample,method,PAS,CHAOS
Cut-H3K27ac,CLUE,0.0162187210379981,0.0707443174384234
Cut-H3K27ac,StabMap,0.830398517145505,0.1038292654982953
Cut-H3K27ac,scMoMaT,0.7261353104726599,0.0984914538985793
Cut-H3K27ac,SpaMosaic,0.2205746061167748,0.0802286459136303
SRA,CLUE,0.0118938700823421,0.0734671214184968
SRA,StabMap,0.4720951509606587,0.0954957433933973
SRA,scMoMaT,0.5054894784995425,0.0921525679840111
SRA,SpaMosaic,0.1651418115279048,0.0754948988557235
Mux2,CLUE,0.0390290337934317,0.0707656361877052
Mux2,StabMap,0.6977629700142789,0.1118968090405599
Mux2,scMoMaT,0.4712041884816754,0.0903183798762568
Mux2,SpaMosaic,0.0675868633983817,0.0700135111446662
Cut-H3K4me3,CLUE,0.1107967939651108,0.0792369195096993
Cut-H3K4me3,StabMap,0.7472890146157473,0.1160563467745283
Cut-H3K4me3,scMoMaT,0.6826968411126827,0.1010487012834453
Cut-H3K4me3,SpaMosaic,0.1617161716171617,0.0774392490440452
Mux4,CLUE,0.0309568480300187,0.06664376190252
Mux4,StabMap,0.5712945590994372,0.0977636539368388
Mux4,scMoMaT,0.6454033771106942,0.0885402973830299
Mux4,SpaMosaic,0.049249530956848,0.0665002787826979
SAT,CLUE,0.0386983289357959,0.0695241125925744
SAT,StabMap,0.837730870712401,0.1221223598853146
SAT,scMoMaT,0.7568161829375549,0.1041295014209064
SAT,SpaMosaic,0.144678979771328,0.0741069304190124
Cut-H3K27me3,CLUE,0.2300843486410496,0.0859867111608024
Cut-H3K27me3,StabMap,0.8392689784442362,0.1212671042517751
Cut-H3K27me3,scMoMaT,0.6808809746954076,0.0986016538477244
Cut-H3K27me3,SpaMosaic,0.2614807872539831,0.0832608000011829
