Unnamed: 0,method,cv-fold,PCC_cell,PCC_adt,CMD_cell,CMD_adt
0,MIDAS,0,0.9200307827239546,0.4858136461046123,0.0139160788077237,0.1794211714787479
1,MIDAS,1,0.87484702116887,0.4156332250492547,0.0158240232296685,0.1117168705374054
2,MIDAS,2,0.7822979264467436,0.562072142801564,0.0176050042612636,0.1435975272992132
3,TotalVI,0,0.931178555429064,0.5411442523591258,0.0113384075058329,0.1196202457956919
4,TotalVI,1,0.8850727796235748,0.429403471675419,0.0145555905458324,0.1271395640888255
5,TotalVI,2,0.8395864600136883,0.6061291908027151,0.0137357492962927,0.198870666691725
6,BABEL,0,0.9019985769644152,0.4313852617505987,0.0173218228973018,0.1222340895887711
7,BABEL,1,0.7289805337162338,0.3312987541514066,0.0307471431318979,0.1859340394664178
8,BABEL,2,0.797791872533888,0.462344630324637,0.0247497043670974,0.1741975643832193
9,SpaMosaic,0,0.9198101913241382,0.5281633929643321,0.012898994641972,0.1209421384308723
10,SpaMosaic,1,0.8658952620709824,0.4586822846285551,0.0190526867357915,0.1753190280434101
11,SpaMosaic,2,0.8381998398523219,0.5555925463409545,0.0170872426393603,0.2258977194753317
