sample,method,PAS,CHAOS
S3,Cobolt,0.5283884738527215,0.050706698622403
S3,CLUE,0.1048025613660619,0.0400123197533586
S3,UINMF,0.3486659551760939,0.0459669758258254
S3,StabMap,0.6182497331910353,0.0555204008649381
S3,Cobolt,0.5283884738527215,0.050706698622403
S3,scMoMaT,0.7277481323372466,0.0537558036659234
S3,SpaMosaic,0.1042689434364994,0.0378341220759246
S1,Cobolt,0.4634946677604594,0.0484911242802369
S1,CLUE,0.0816242821985233,0.0395643811944097
S1,UINMF,0.2666119770303528,0.0442838168188222
S1,StabMap,0.5123051681706317,0.0536575999670642
S1,Cobolt,0.4634946677604594,0.0484911242802369
S1,scMoMaT,0.6730926989335521,0.0510197324302167
S1,SpaMosaic,0.0888022969647251,0.0363930907897573
S2,Cobolt,0.4886887306242145,0.0501583891891533
S2,CLUE,0.162442396313364,0.0402880136554123
S2,UINMF,0.3824884792626728,0.0487509558254514
S2,StabMap,0.620548806032677,0.0545121719616291
S2,Cobolt,0.4886887306242145,0.0501583891891533
S2,scMoMaT,0.8246753246753247,0.0545123270091766
S2,SpaMosaic,0.1087138667783829,0.0373138868410418
S4,Cobolt,0.5903418339663592,0.0525417550134062
S4,CLUE,0.0504612045577862,0.0400887135229329
S4,UINMF,0.3686380900705371,0.0483530436556461
S4,StabMap,0.8623982637004883,0.0611463231620003
S4,Cobolt,0.5903418339663592,0.0525417550134062
S4,scMoMaT,0.7189365165491047,0.0541858932827003
S4,SpaMosaic,0.1020075963103635,0.0383563418267626
