sample,method,PAS,CHAOS
S3,MultiVI,0.8075230092036815,0.1052156933393291
S3,Cobolt,0.9315726290516206,0.1133927060467008
S3,CLUE,0.8099239695878351,0.1075301516633992
S3,StabMap,0.8719487795118047,0.1028919968029779
S3,MIDAS,0.6246498599439776,0.1031315317974155
S3,Cobolt,0.9315726290516206,0.1133927060467008
S3,scMoMaT,0.7406962785114045,0.1140019959969504
S3,SpaMosaic,0.3201280512204882,0.0783111676327368
S1,MultiVI,0.5155006284038542,0.0462329069361644
S1,Cobolt,0.5373900293255132,0.047927150392698
S1,CLUE,0.4512987012987013,0.0448287465456859
S1,StabMap,0.570485965647256,0.0521006806968327
S1,MIDAS,0.4912023460410557,0.0477135611161849
S1,Cobolt,0.5373900293255132,0.047927150392698
S1,scMoMaT,0.6956430666108085,0.0558968656103791
S1,SpaMosaic,0.085672392124005,0.0365902353375189
S2,MultiVI,0.4983991462113127,0.0462624213677725
S2,Cobolt,0.5564567769477055,0.0493463486071785
S2,CLUE,0.4600853788687299,0.0468528464908997
S2,StabMap,0.6427961579509072,0.0536420758175801
S2,MIDAS,0.4703308431163287,0.0489521635731666
S2,Cobolt,0.5564567769477055,0.0493463486071785
S2,scMoMaT,0.5225186766275347,0.0515734152496971
S2,SpaMosaic,0.099359658484525,0.0376474788875157
