Unnamed: 0,method,cv-fold,AUROC,PCC_cell,PCC_peak,CMD_cell,CMD_peak
0,MIDAS,0,0.7942388085046808,0.2836507983027205,0.0770524071771568,0.0795232264904445,0.5408595051665653
1,MIDAS,1,0.7849001879004079,0.3031402706566357,0.0789614024026654,0.0952822359056053,0.4212077253433284
2,MIDAS,2,0.754664825738696,0.3264218554597948,0.0587920317733098,0.0425752632599173,0.4848140801859123
3,MultiVI,0,0.5224945577144013,-0.0011761009887188,0.028041354236736,0.0858059539416535,0.8584333661243649
4,MultiVI,1,0.5162132936821167,9.465730443454708e-05,0.0244912581042943,0.0867773107709033,0.8455710487289858
5,MultiVI,2,0.5105642726936508,-2.4630841503731883e-05,0.0146875022846931,0.044760751181039,0.8827511765321272
6,BABEL,0,0.5015783285723534,0.09200072010083,0.015750069836914,0.0626153223037435,0.7934893228101909
7,BABEL,1,0.5007946622091618,0.0841370433101523,0.0456225763286001,0.0724108874010864,0.7507846929981151
8,BABEL,2,0.5017139413248242,0.0864429281933,0.0344826227711832,0.0321806316740821,0.8264689533539823
9,SpaMosaic,0,0.6501379989560555,0.6755902206845089,0.0361351688808203,0.0627172386231034,0.5905034804605672
10,SpaMosaic,1,0.6354150504604945,0.677585095460896,0.0343568829406987,0.0701001215648725,0.5320933148047188
11,SpaMosaic,2,0.612893047133226,0.7021862774267278,0.0233277112219631,0.0306428915091349,0.5176066475795367
