Unnamed: 0,method,cv-fold,smthed_auroc,smthed_PCC_cell,smthed_PCC_peak,smthed_cmd_cell,smthed_cmd_peak
0,MIDAS,0,0.9973028386267802,0.402007415391671,0.1879631096674887,0.009160000073992,0.2738075464753884
1,MIDAS,1,0.9983504532614016,0.4433223853193496,0.2166281499249967,0.0127806616557768,0.0847885795178968
2,MIDAS,2,0.9990686469308482,0.4395461543919282,0.208151309197919,0.0079615607444308,0.1729430957051958
3,MultiVI,0,0.4589285064127545,-0.0012906657867156,0.0493106074398711,0.0115942709668676,0.8141634121469751
4,MultiVI,1,0.4865454336154017,0.0002534669268519,0.0552969474456848,0.0082235589889572,0.7671669265310692
5,MultiVI,2,0.4730574579950143,0.000150818768724,0.0460534149364247,0.0106158965765249,0.8362407821733806
6,BABEL,0,0.6219499734767501,0.1154614968519565,0.0160686154774457,0.0232789912904295,0.7103307948519693
7,BABEL,1,0.5841765517554156,0.1094647065216494,0.0573380803048021,0.0002261508895602,0.5334224183757463
8,BABEL,2,0.6077645579133066,0.1047129577160924,0.0816315508566141,0.0031240490882722,0.7093399246422152
9,SpaMosaic,0,0.9920149909115712,0.943071841846668,0.1075765026889749,0.000929733831459,0.341267388014981
10,SpaMosaic,1,0.986289310634645,0.9533791285934288,0.1098318698488081,0.0004155668199798,0.2826865997745014
11,SpaMosaic,2,0.9937403262003344,0.9437859251844696,0.0900779257014008,0.0018168157377775,0.2968651582182374
