sample,method,PAS,CHAOS
E13,MultiVI,0.2723691615081598,0.0914618018818257
E13,Cobolt,0.6539110861001688,0.1111820838343843
E13,CLUE,0.261114237478897,0.0875143832538255
E13,StabMap,0.7737760270118177,0.1215528231974899
E13,MIDAS,0.6752954417557682,0.1170536967381697
E13,Cobolt,0.6539110861001688,0.1111820838343843
E13,scMoMaT,0.5407990996060776,0.1107428782878671
E13,SpaMosaic,0.2504220596510974,0.0954877055669293
E15,MultiVI,0.366341713699333,0.0922183916287208
E15,Cobolt,0.3683940482298615,0.0914501648670199
E15,CLUE,0.3181118522319138,0.0860386226155868
E15,StabMap,0.3822473063109287,0.0897210570317679
E15,MIDAS,0.512570548999487,0.1020243472828184
E15,Cobolt,0.3683940482298615,0.0914501648670199
E15,scMoMaT,0.452539763981529,0.0948594380710542
E15,SpaMosaic,0.112365315546434,0.0837634126548803
E18,MultiVI,0.3588539220291216,0.0859796244054995
E18,Cobolt,0.4189760450915923,0.0898072358067237
E18,CLUE,0.4001878816345702,0.0893952014837817
E18,StabMap,0.6669798027242837,0.0953166813892667
E18,MIDAS,0.5011742602160639,0.0926941105634324
E18,Cobolt,0.4189760450915923,0.0898072358067237
E18,scMoMaT,0.4659464537341475,0.0922418692752427
E18,SpaMosaic,0.2005636449037106,0.0864480068999259
