sample,method,PAS,CHAOS
Misar-E15,MultiVI,0.1262185736275012,0.0807236345561044
Misar-E15,Cobolt,0.5038481272447409,0.1039950706189818
Misar-E15,CLUE,0.2765520779887122,0.0894537298314063
Misar-E15,UINMF,0.1918932786044125,0.1066556436212646
Misar-E15,StabMap,0.7090815802975885,0.1244118328864923
Misar-E15,MIDAS,0.5844022575679836,0.1110193093333431
Misar-E15,Cobolt,0.5038481272447409,0.1039950706189818
Misar-E15,scMoMaT,0.3955874807593638,0.0923631633197286
Misar-E15,SpaMosaic,0.0974858902001026,0.0800989989406962
Stereo-E16,MultiVI,0.0762305961105661,0.0215921372917889
Stereo-E16,Cobolt,0.6500086560101563,0.0350108210369532
Stereo-E16,CLUE,0.208898378440764,0.0252987630278126
Stereo-E16,UINMF,0.5234000807894281,0.0408360958057248
Stereo-E16,StabMap,0.5323446246176928,0.0311902332194203
Stereo-E16,MIDAS,0.2159963067689999,0.0252742636621585
Stereo-E16,Cobolt,0.6500086560101563,0.0350108210369532
Stereo-E16,scMoMaT,0.4018119914594033,0.0282309559072268
Stereo-E16,SpaMosaic,0.0379133244849674,0.0197211253059152
Misar-E13,MultiVI,0.072594259988745,0.0829045151293124
Misar-E13,Cobolt,0.5402363534046145,0.1135804943490901
Misar-E13,CLUE,0.0478334271243669,0.0848056974829918
Misar-E13,UINMF,0.0050647158131682,0.0822509709781893
Misar-E13,StabMap,0.5852560495216658,0.1193918115477456
Misar-E13,MIDAS,0.610579628587507,0.1196983713567659
Misar-E13,Cobolt,0.5402363534046145,0.1135804943490901
Misar-E13,scMoMaT,0.2791221159257175,0.0967699747584345
Misar-E13,SpaMosaic,0.1074845244794597,0.0838668707916746
Stereo-E14,MultiVI,0.0480845742866886,0.0197231068463681
Stereo-E14,Cobolt,0.5933841082187109,0.0330274549739837
Stereo-E14,CLUE,0.1746618165283619,0.0233514965936526
Stereo-E14,UINMF,0.4897692395134705,0.039706425643805
Stereo-E14,StabMap,0.385927020575196,0.026796582985809
Stereo-E14,MIDAS,0.1378310787768557,0.0224968166195414
Stereo-E14,Cobolt,0.5933841082187109,0.0330274549739837
Stereo-E14,scMoMaT,0.3185176764806184,0.0258577322460554
Stereo-E14,SpaMosaic,0.0243264749346368,0.0186226169830731
Misar-E18,MultiVI,0.0798496946923438,0.0769703420222717
Misar-E18,Cobolt,0.5758572099577266,0.1019005072220238
Misar-E18,CLUE,0.2108971348050728,0.0850991567696914
Misar-E18,UINMF,0.1911695631751996,0.0967499903387392
Misar-E18,StabMap,0.9187411930483796,0.1302525842894068
Misar-E18,MIDAS,0.5622357914513856,0.1071884241467191
Misar-E18,Cobolt,0.5758572099577266,0.1019005072220238
Misar-E18,scMoMaT,0.4152184124001878,0.0895192769498968
Misar-E18,SpaMosaic,0.1155472052606857,0.0761853480006732
Stereo-E12,MultiVI,0.0641481791544579,0.0269575692983844
Stereo-E12,Cobolt,0.7604646295521138,0.0482789750729631
Stereo-E12,CLUE,0.2061532021766429,0.0331255135008057
Stereo-E12,UINMF,0.6615738802846379,0.0549590981016137
Stereo-E12,StabMap,0.3939933026370866,0.0370324060730258
Stereo-E12,MIDAS,0.2042695688572624,0.0332797693318433
Stereo-E12,Cobolt,0.7604646295521138,0.0482789750729631
Stereo-E12,scMoMaT,0.4030975303474257,0.0371912181177985
Stereo-E12,SpaMosaic,0.0564043532858936,0.0257949499014313
