Unnamed: 0,method,cv-fold,AUROC,PCC_cell,PCC_peak,CMD_cell,CMD_peak
0,MIDAS,0,0.836787156871637,0.4168007242613172,0.0925948726782276,0.0853770373461536,0.406146185911914
1,MIDAS,1,0.8571172548280357,0.5876011459483361,0.1717991173086287,0.0313469697703263,0.294150881485817
2,MIDAS,2,0.8197978891372919,0.5040004607674231,0.0947504839330008,0.0663884177489626,0.4073774644245921
3,MultiVI,0,0.5271068529140625,-0.003129544115917,0.0325760318267922,0.0821139560443433,0.6773815022247741
4,MultiVI,1,0.508412577696366,-0.0032965655720159,0.0215167803305688,0.0317918109532394,0.6562617231924075
5,MultiVI,2,0.518224060171956,-0.0027140655522904,0.032781971068177,0.0687958742595802,0.7200804172707723
6,BABEL,0,0.5235568534148923,0.0298415865227185,0.1002597491190596,0.0756412082748966,0.5929210545385231
7,BABEL,1,0.519724688908395,0.0381236523478682,0.1055909016746812,0.0271458247729983,0.6291238752001305
8,BABEL,2,0.5194854967157062,0.0296110531560174,0.0755822514583597,0.0773209975204397,0.6155737069687681
9,SpaMosaic,0,0.7730911976909635,0.4853132249041794,0.0633303708505831,0.0777324109768097,0.4288570905872415
10,SpaMosaic,1,0.7560951685681391,0.6104933621439095,0.097732281837396,0.0262966086635261,0.3248976658677408
11,SpaMosaic,2,0.7514628137087435,0.5342147866820122,0.0708073556506998,0.0635397545645685,0.3167946994807867
