Unnamed: 0,method,cv-fold,smthed_auroc,smthed_PCC_cell,smthed_PCC_peak,smthed_cmd_cell,smthed_cmd_peak
0,MIDAS,0,0.9932384752118264,0.6824046250380845,0.2545533779192888,0.0285612729144839,0.0503083207501117
1,MIDAS,1,0.9874770062127232,0.7529092621177464,0.3528783990706657,0.0020828293517491,0.1078619820900492
2,MIDAS,2,0.9900491568728248,0.800564673977424,0.2272862000000847,0.007365512922037,0.2125346011342903
3,MultiVI,0,0.5347457462576245,-0.0048502315938847,0.1058537248439771,0.0295474084872711,0.4551146364649375
4,MultiVI,1,0.5137915138615636,-0.0040809615819645,0.0705329049979223,0.0032246369898329,0.5490472642356943
5,MultiVI,2,0.5233546351175049,-0.004228822531365,0.084857030086647,0.007980347491975,0.6196183210307773
6,BABEL,0,0.543477906674581,0.0473080599249905,0.224493859230034,0.027417858634486,0.4161990322874959
7,BABEL,1,0.5365902337054249,0.0478849708351298,0.1750575628632926,0.002014912513882,0.5679887358186195
8,BABEL,2,0.5381625782126115,0.0440270518238406,0.1573820329403669,0.0640788996340133,0.5180475057263498
9,SpaMosaic,0,0.99140424402507,0.761614453577464,0.1780072336759028,0.0253578632348746,0.2547627683146334
10,SpaMosaic,1,0.9634335801295516,0.7582105199281821,0.211774813997975,0.0081868143660868,0.3076444529340654
11,SpaMosaic,2,0.9833008671716676,0.8221113006144953,0.1859156772239407,0.0267976868208712,0.2179131718947236
