sample,method,PAS,CHAOS
VisiumHD,MultiVI,0.1655327193505666,0.0121258562248703
VisiumHD,Cobolt,0.6151015497841624,0.0155541642591074
VisiumHD,CLUE,0.4248612473083494,0.0137403797100919
VisiumHD,UINMF,0.5227918355793241,0.0166773850510404
VisiumHD,StabMap,0.713729692570539,0.0161749287945069
VisiumHD,MIDAS,0.2516958662312848,0.0122754843950467
VisiumHD,Cobolt,0.6151015497841624,0.0155541642591074
VisiumHD,scMoMaT,0.28383392136842,0.0125451354728619
VisiumHD,SpaMosaic,0.0561986311756321,0.0103205853733404
VisiumHE,MultiVI,0.193560325684678,0.0802913319399627
VisiumHE,Cobolt,0.4163582531458179,0.084944200079951
VisiumHE,CLUE,0.0070318282753515,0.0708348937272045
VisiumHE,UINMF,0.4319022945965951,0.0955169424463002
VisiumHE,StabMap,0.3219837157660992,0.084635948863266
VisiumHE,MIDAS,0.0899333826794966,0.0809691039027999
VisiumHE,Cobolt,0.4163582531458179,0.084944200079951
VisiumHE,scMoMaT,0.3356772760917839,0.0785740590248178
VisiumHE,SpaMosaic,0.1073279052553664,0.0727775809410671
Mux,MultiVI,0.2757588271732397,0.0470327382733293
Mux,Cobolt,0.5263266570307661,0.0530035022159003
Mux,CLUE,0.0908527772042122,0.0384534142850933
Mux,UINMF,0.3530869295890976,0.0467126184667175
Mux,StabMap,0.6578567003923188,0.0554478445249278
Mux,MIDAS,0.566900681395829,0.0511833130509529
Mux,Cobolt,0.5263266570307661,0.0530035022159003
Mux,scMoMaT,0.7829857526326657,0.0519774594652225
Mux,SpaMosaic,0.0805285979764608,0.0367160267774374
