sample,method,PAS,CHAOS
S2-adt,Cobolt,0.1670723611418455,0.0539008106804149
S2-adt,CLUE,0.1349856162867891,0.053623694338205
S2-adt,SpaMosaic,0.0998008408940031,0.0531229476495875
S2-adt,scMoMaT,0.0648373533967692,0.0541763468675762
S2-adt,StabMap,0.1177251604337242,0.053510256936315
S2-adt,MIDAS,0.1307811462712989,0.0533826688899035
S1,Cobolt,0.1517177772653908,0.0555480875405397
S1,CLUE,0.1321189762508646,0.0541576155528981
S1,SpaMosaic,0.0922296518330643,0.0538001039178544
S1,scMoMaT,0.0700945353931288,0.0551170450956072
S1,StabMap,0.0860041503343325,0.0545014908339122
S1,MIDAS,0.1309661056029513,0.054567517866686
S2-rna,Cobolt,0.1462712989599469,0.0537216237089284
S2-rna,CLUE,0.1531312237220624,0.0537021555121486
S2-rna,SpaMosaic,0.0955963708785129,0.0531021638597335
S2-rna,scMoMaT,0.209117061296747,0.0554946296181706
S2-rna,StabMap,0.0887364461163974,0.0537000867296423
S2-rna,MIDAS,0.1416242531533525,0.0535409987322245
