Unnamed: 0,method,cv-fold,PCC_cell,PCC_adt,CMD_cell,CMD_adt
0,MIDAS,0,0.9527056872342912,0.5779075306535467,0.0052657709852177,0.1177975480896306
1,MIDAS,1,0.9465583777428676,0.5731151691607697,0.0070590016579885,0.1437883578201649
2,MIDAS,2,0.846437731252642,0.578508457236705,0.0230809085174805,0.1098514003435373
3,TotalVI,0,0.9341091932952288,0.6083911094123106,0.0071649616073455,0.1766632994191305
4,TotalVI,1,0.9375495542185264,0.6100003502333367,0.0073774788842618,0.1861522358738605
5,TotalVI,2,0.8470790102636354,0.6520798545535088,0.0271125948381518,0.0995186187814329
6,BABEL,0,0.9150742348952842,0.5083272348376241,0.005391689973458,0.1106761384935141
7,BABEL,1,0.9340291143551598,0.399167334067609,0.0096363489203598,0.0943457579534465
8,BABEL,2,0.8156815912625994,0.4449216139717359,0.0333864634732554,0.2421824984174463
9,SpaMosaic,0,0.9202543584953592,0.5631166850484722,0.0128964748817163,0.17008771560803
10,SpaMosaic,1,0.9226582217938196,0.5678330913211922,0.0105482576919497,0.1795135663914562
11,SpaMosaic,2,0.8484011850783993,0.6332556868500852,0.0251034696324903,0.0994573334278483
